trial,has_wave,has_rotation,final_energy,max_amplitude
92,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0324425995349884,0.19848661124706268
93,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.024570632725954056,0.20975223183631897
94,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04490973427891731,0.2090739756822586
95,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04910524934530258,0.28818562626838684
96,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030981533229351044,0.30873462557792664
97,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03473127260804176,0.2015441507101059
98,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03539557009935379,0.2357078343629837
99,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.026705946773290634,0.29596635699272156
100,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.033743925392627716,0.285799115896225
101,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04549498111009598,0.24525554478168488
102,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03798403590917587,0.24369828402996063
103,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.027265703305602074,0.2500908672809601
104,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.040125772356987,0.2909899652004242
105,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.027140621095895767,0.21457774937152863
106,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05409427732229233,0.1992693394422531
107,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.039227910339832306,0.25899189710617065
108,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03685528784990311,0.2671477496623993
109,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05036688596010208,0.2999097406864166
110,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04422679916024208,0.2579024136066437
111,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03464542329311371,0.22254149615764618
112,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04759633541107178,0.23529945313930511
113,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04681237041950226,0.24589014053344727
114,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.021836407482624054,0.25043997168540955
115,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.027724262326955795,0.22537796199321747
116,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04757586866617203,0.22913692891597748
117,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03026820905506611,0.20330996811389923
118,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03875822573900223,0.1915721744298935
119,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.039466556161642075,0.2724139094352722
120,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03777450695633888,0.2786366939544678
121,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04330749064683914,0.30828678607940674
122,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030381985008716583,0.2633439898490906
123,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03738052025437355,0.2293912023305893
124,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.038716644048690796,0.26057398319244385
125,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.031781502068042755,0.22756598889827728
126,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03762555867433548,0.2561661899089813
127,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04727848991751671,0.2966221868991852
128,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.042556654661893845,0.3618200123310089
129,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02675601840019226,0.23826995491981506
130,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05358962342143059,0.21144428849220276
131,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.040129780769348145,0.24177968502044678
132,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.031059883534908295,0.2740386426448822
133,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04207365959882736,0.22869229316711426
134,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.025460757315158844,0.2293669730424881
135,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03483621031045914,0.20976558327674866
136,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.036098282784223557,0.37186190485954285
137,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03558839112520218,0.21961358189582825
138,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030658435076475143,0.2546246647834778
139,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04803206026554108,0.27412357926368713
140,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.039968401193618774,0.23144011199474335
141,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.026247257366776466,0.25960853695869446
142,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02407757192850113,0.21214400231838226
143,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.033843815326690674,0.23090636730194092
144,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.041625358164310455,0.2676902115345001
145,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.031668126583099365,0.22602036595344543
146,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02748091146349907,0.24836952984333038
147,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03894384205341339,0.2878398597240448
148,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04340127110481262,0.22374756634235382
149,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04494323581457138,0.26133817434310913
150,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030185513198375702,0.23016373813152313
151,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0362565852701664,0.25629833340644836
152,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.025672685354948044,0.20148058235645294
153,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.037882477045059204,0.2968702018260956
154,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03177914023399353,0.1714564859867096
155,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03341925889253616,0.20026293396949768
156,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04082838073372841,0.25176024436950684
157,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.038202423602342606,0.22636571526527405
158,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.023905552923679352,0.2037583589553833
159,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04867732152342796,0.2180311530828476
160,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0397992804646492,0.22169950604438782
161,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030391979962587357,0.22094635665416718
162,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04201897978782654,0.2585805654525757
163,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035372212529182434,0.24885272979736328
164,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.029694074764847755,0.30605822801589966
165,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035877883434295654,0.19169901311397552
166,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03486473113298416,0.2621380090713501
167,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03233754262328148,0.27090439200401306
168,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02737918123602867,0.23516154289245605
169,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0306828822940588,0.30548715591430664
170,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.041034042835235596,0.2907823324203491
171,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035908013582229614,0.2503530979156494
172,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04638379067182541,0.19715680181980133
173,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.040505118668079376,0.2576236426830292
174,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02875009924173355,0.22177527844905853
175,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03953680768609047,0.26417598128318787
176,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03166285902261734,0.3183233439922333
177,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.028682570904493332,0.2881026566028595
178,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.038693562150001526,0.25224122405052185
179,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030355507507920265,0.3064369857311249
180,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03431481868028641,0.23996642231941223
181,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.031602680683135986,0.24722500145435333
182,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03532379865646362,0.2373185008764267
183,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03315035253763199,0.28281402587890625
184,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03385245054960251,0.31397026777267456
185,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.037248335778713226,0.19997058808803558
186,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03683604672551155,0.26601526141166687
187,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04769016057252884,0.2760862112045288
188,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035617645829916,0.20564208924770355
189,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03727521747350693,0.35254815220832825
190,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03414272516965866,0.2600191533565521
191,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.041264716535806656,0.25334393978118896
192,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04810761660337448,0.22998671233654022
193,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03332801163196564,0.1951764076948166
194,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.040870726108551025,0.2215898334980011
195,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02431601844727993,0.22978007793426514
196,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030267108231782913,0.27818697690963745
197,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.033794764429330826,0.17701154947280884
198,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03004445880651474,0.20120523869991302
199,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02943965420126915,0.23545017838478088
200,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04215211793780327,0.21714377403259277
201,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02434309758245945,0.23714955151081085
202,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.029311157763004303,0.20075929164886475
203,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04102519899606705,0.20123152434825897
204,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035128965973854065,0.24756042659282684
205,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.025524647906422615,0.25212109088897705
206,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04299192130565643,0.3125884532928467
207,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.044707030057907104,0.28136178851127625
208,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03754892200231552,0.21158234775066376
209,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030287519097328186,0.2159433364868164
210,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04624076560139656,0.22466354072093964
211,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.027015753090381622,0.23503689467906952
212,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03348829597234726,0.3168583810329437
213,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03576170653104782,0.2966746389865875
214,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03142831474542618,0.2219095081090927
215,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030760809779167175,0.26744675636291504
216,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02460264228284359,0.26406773924827576
217,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03220023214817047,0.18447193503379822
218,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03037138096988201,0.3022368252277374
219,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035614386200904846,0.21959255635738373
220,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04450707137584686,0.22857439517974854
221,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.031508881598711014,0.2721157968044281
222,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.029784495010972023,0.34666523337364197
223,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.041346997022628784,0.17724256217479706
224,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03938381001353264,0.21728456020355225
225,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0436018742620945,0.29522058367729187
226,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.043621838092803955,0.22524122893810272
227,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.038311660289764404,0.23097269237041473
228,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02793673798441887,0.2244269698858261
229,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02743859961628914,0.39124825596809387
230,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03310074284672737,0.190310537815094
231,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.042293988168239594,0.23760615289211273
232,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03657614812254906,0.2646755278110504
233,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.031265631318092346,0.24129143357276917
234,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.032940059900283813,0.28328394889831543
235,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.043544430285692215,0.2471848726272583
236,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0339251384139061,0.27197471261024475
237,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0361718013882637,0.19451482594013214
238,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.035208918154239655,0.206352099776268
239,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03356284275650978,0.22040632367134094
240,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03150852769613266,0.25291141867637634
241,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04243618994951248,0.2754019796848297
242,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03286578133702278,0.23693148791790009
243,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02622668258845806,0.2875523269176483
244,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.025519179180264473,0.2417348474264145
245,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04209796339273453,0.34156620502471924
246,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05464005470275879,0.3018042743206024
247,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03399091213941574,0.26478227972984314
248,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03956251218914986,0.27805376052856445
249,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04338165372610092,0.2652122676372528
