perturbation_strength,rotation_angle,recovery_pct,normalized_recovery,rotation_quality,circularity,final_distance,initial_distance
0.02125,0.0,0.0,0.5309229035812421,0.7117510164129341,0.0,0.46195883576968244,0.9848249665067406
0.0325,180.0,0.0,0.5638891271031217,0.7118358989599036,0.0,0.43842458439575793,1.0053053286278113
0.0325,180.0,0.0,0.5933080052194152,0.7340868011605766,0.0,0.40152329336818066,0.9872908700472636
0.0325,0.0,0.0,0.6168425089104135,0.7276032861250062,0.0,0.45421169135113804,1.1854438498892308
0.0325,0.0,0.0,0.5423019455004813,0.7434176793910967,0.0,0.47718774050889107,1.0425819725860181
0.0325,0.0,0.0,0.5399680720715951,0.7637091299421334,0.0,0.5150001043568536,1.1194877422442808
0.0325,180.0,0.0,0.46335402181699764,0.7369487538805155,0.0,0.5300870647930194,0.9877779510950768
0.0325,180.0,0.0,0.49743366847082787,0.7622328528191773,0.0,0.4771741631923441,0.9494749911726745
0.0325,180.0,0.0,0.5607670673675221,0.6924872677626683,0.0,0.4741256404695934,1.0794400994205768
0.0325,180.0,0.0,0.6067653460861928,0.7278909496485078,0.0,0.4550242243049007,1.1571315492571954
0.0325,180.0,0.0,0.6033750891071781,0.7340863279898042,0.0,0.44467135113814094,1.121138231426675
0.0325,0.0,0.0,0.5648524828656895,0.7341714692993518,0.0,0.4529188948292085,1.0408398922092728
0.0325,0.0,0.0,0.5684458220562503,0.7239879125405967,0.0,0.4520509196628049,1.0474951761948341
0.0325,0.0,0.0,0.5417501791387543,0.7315458493199607,0.0,0.4521927719076631,0.9867822120645922
0.0325,180.0,0.0,0.6020665218165426,0.7148425354259103,0.0,0.45120763929790325,1.1338770524099637
0.0325,180.0,0.0,0.5386119782467261,0.7431145826458048,0.0,0.49233035495183536,1.0670635814969376
0.0325,0.0,0.0,0.5710298670127854,0.7717682856827542,0.0,0.4752117934388206,1.1077969231321383
0.0325,0.0,0.0,0.508691067516938,0.7576019506508234,0.0,0.496914675977848,1.0114098139157675
0.0325,180.0,0.0,0.526171598632838,0.73117808992139,0.0,0.4788960563130236,1.0106951270359472
0.0325,180.0,0.0,0.5147234500569197,0.7681934129081558,0.0,0.5098166293953845,1.050569267060571
0.0325,180.0,0.0,0.6209144524783528,0.7498294913400254,0.0,0.446513535771228,1.1778701105605467
0.043750000000000004,0.0,0.0,0.5321142509778333,0.7224037320065451,0.0,0.48709664007011194,1.0410589360502944
0.043750000000000004,0.0,0.0,0.5110818168129622,0.7607459631746578,0.0,0.46327358156281007,0.9475482759568029
0.043750000000000004,180.0,0.0,0.578368736487511,0.7581542231083842,0.0,0.4444707935704655,1.054169441487111
0.043750000000000004,180.0,0.0,0.62288163297474,0.7397084451834118,0.0,0.4587639077149213,1.2164984467176387
0.043750000000000004,180.0,0.0,0.5309349102938227,0.7559917820138073,0.0,0.47453486687165397,1.0116610195162956
0.043750000000000004,0.0,0.0,0.5866897488955488,0.7337234713959777,0.0,0.5072976346728865,1.227401530248237
0.043750000000000004,180.0,0.0,0.5488507686479361,0.7584223123786381,0.0,0.49612979528222023,1.0997021845639694
0.043750000000000004,0.0,0.0,0.5581860675899715,0.7448254578076066,0.0,0.4826132138906583,1.0923449409077612
0.043750000000000004,0.0,0.0,0.5629178113275416,0.7177334773883755,0.0,0.46400437930976335,1.0615952590497344
0.043750000000000004,180.0,0.0,0.6014346541499114,0.7365126940228589,0.0,0.415361917833254,1.0421425800262198
0.043750000000000004,180.0,0.0,0.5580820665878241,0.7340728106014183,0.0,0.5099204491744148,1.153880416748811
0.043750000000000004,0.0,0.0,0.5546257491064958,0.7457401135548376,0.0,0.4740524575845458,1.0643912543967409
0.043750000000000004,0.0,0.0,0.5249969212492163,0.7588635108898512,0.0,0.5157704959325127,1.0858255851497713
0.043750000000000004,0.0,0.0,0.5859922080645237,0.7282549507048176,0.0,0.45263882394693766,1.0933099153300043
0.043750000000000004,0.0,0.0,0.5808208560351961,0.8045653947827691,0.0,0.4809253291404961,1.1473026176628593
0.043750000000000004,0.0,0.0,0.5266206538124428,0.73952059836527,0.0,0.47978064688603933,1.013522560183574
0.043750000000000004,180.0,0.0,0.6286808480616172,0.7525901214804743,0.0,0.42405582130936065,1.1420251799447418
