integration_level,differentiation_level,H_mode,PR,R,S_dot,kappa,C,lyapunov,avalanche_alpha,avalanche_ks,branching_ratio,susceptibility,correlation_length,criticality_score,n_avalanches,mean_avalanche_size,sheaf_consistency,phi_integration
0.5,0.5,0.7311478087918148,0.334168831300928,0.4893769470913392,0.7426831947294097,0.25244226931014824,0.5099638102447279,0.2805280768278542,1.800131410005453,0.4,1.0597913890289556,0.0010914411740410195,332.8176228591017,0.8198643091576293,25,2.0,0.9618363028998087,0.0
0.55,0.44999999999999996,0.7114706048341414,0.31411654406977474,0.36056501655175227,0.6051616789816785,0.23833334624559116,0.44592943813658764,0.3691032686617072,1.8523809103906395,0.5833333333333334,1.082296028629186,0.0012460721005495997,989.9999999999999,0.7712266985940047,24,2.0416666666666665,0.9614898933195916,0.0
0.6000000000000001,0.3999999999999999,0.6926239560775829,0.296284811265478,0.4763574033657975,0.7434773668212448,0.22536564025074618,0.4868218355561699,0.3656998562726561,1.867411784413576,0.5185185185185185,1.0849115664569609,0.0015502952539495755,989.9999999991044,0.7681491292204442,27,1.8518518518518519,0.9652453161732966,0.0005457523636098749
0.65,0.35,0.6745955005598376,0.2803523907101714,0.6045177290254314,0.6852958926760311,0.2134292847475578,0.49163815954380585,0.3777122181643936,1.7601335507828317,0.4090909090909091,1.0658622733347036,0.001375343416042989,989.9999999994702,0.7943343804374495,22,2.272727272727273,0.965625762687091,0.0
0.7000000000000001,0.29999999999999993,0.6573595246824679,0.26605054231651903,0.47710395171871234,0.6074733524863027,0.2024233547061827,0.442082145182037,0.3265520309184721,1.782207603455575,0.47619047619047616,1.122373330849977,0.0023376749895198806,989.9999999997956,0.7876454119759447,21,2.4285714285714284,0.9654798176481927,0.0016059867811208939
0.75,0.25,0.6408819441874779,0.2531545733775875,0.25405276680308764,0.62733434483746,0.19225621826400666,0.39353596949392394,0.42255884302053853,1.7231193417923303,0.47368421052631576,1.0570508538358478,0.001874830205188795,989.9999999999887,0.7905480250940201,19,2.6842105263157894,0.9682670031645746,0.005942269787639898
0.8,0.19999999999999996,0.6251239866469829,0.2414763664079263,0.23093214516011698,0.5457530038924062,0.1828453736354335,0.3652261751485732,0.37200515585557836,1.6809954909836409,0.4375,1.0665585766172672,0.0023551186771781883,989.9999999999998,0.8135908689571313,16,3.3125,0.969300180360601,0.0010699024681006808
0.8500000000000001,0.1499999999999999,0.6100448279933319,0.23085801073307946,0.5663659005567987,0.6405247719060222,0.17411696993994125,0.4443820962258347,0.35622254335895776,1.6758671973020207,0.5,1.049888861846302,0.002366420777693626,989.9999999999999,0.8255479321977978,14,3.7857142857142856,0.9744991516625632,0.0038959167669680994
0.9,0.09999999999999998,0.595603415711546,0.22116648896708066,0.533180483718935,0.5612549427656288,0.16600515390813675,0.41544209701426543,0.34822353642447923,0.0,1.0,1.0267748293976622,0.002726226349182742,989.9999999999999,0.5416672113926195,6,8.0,0.9756535113746299,0.002738473379553241
0.9500000000000001,0.04999999999999993,0.5817596780992924,0.21228929899116097,0.4708887197824838,0.6150475973100464,0.15845133969097647,0.407687326774792,0.23610134307909567,0.0,1.0,1.0064872560012479,0.002909005926370549,989.9999999999999,0.5858038003065521,6,8.333333333333334,0.9794032753217679,0.003337494305461597
1.0,0.0,0.56847528231336,0.20413087235719166,0.6183790295465796,0.6019718358654951,0.15140346536409124,0.4288720970893435,-0.01248253044533234,0.0,1.0,1.002615017069734,0.0032998023161051084,989.9999999999999,0.6616341508283111,4,13.25,0.9815615327654392,0.0013303357295422202
