perturbation_level,trial,time,H_mode,PR,R,S_dot,kappa,C
0.5,15,177,0.8942079968558937,0.5052512966604056,0.10856873428575853,0.9999518038347353,0.6938085165407205,0.6403576696355027
0.5,15,178,0.8762819678558053,0.4431427192495623,0.03569398554892163,0.9998765648865742,0.7031564897074482,0.6116303454496623
0.5,15,179,0.8802614494468927,0.4508876395494884,0.04052727208124486,0.9997378134504898,0.6979029761844708,0.6138634301425173
0.5,15,180,0.872795793885625,0.42896386662351543,0.16298922685973666,0.9995986072629611,0.6969112766830025,0.6322517542629682
0.5,15,181,0.8851480378936472,0.4685648642873595,0.10139396356921514,0.9999011868156747,0.7108863197001769,0.6331788744532147
0.5,15,182,0.8894429074680855,0.48332196099823227,0.05766079140993391,0.9999698826336416,0.6834845072885388,0.6227760099596865
0.5,15,183,0.8935194581532002,0.48884721880309345,0.09235896936389854,0.9996626726854894,0.7126947977179742,0.6374166233447311
0.5,15,184,0.8704138272100049,0.44490419876794746,0.05299290495501785,0.9996941511266315,0.7010420425298705,0.6138094249178945
0.5,15,185,0.8882309093602868,0.4883195902684423,0.008745793159751237,0.999826878894168,0.6962100128118005,0.6162666368988898
0.5,15,186,0.886631388542447,0.48242463235115274,0.08873847747622131,0.9998755987594623,0.7111177682989086,0.6337575730856384
0.5,15,187,0.8660625097428366,0.41605608296075564,0.11374091827917629,0.9999544568183057,0.7108976321787469,0.6213423199959642
0.5,15,188,0.856313684515534,0.409979000927043,0.1674670474643835,0.9978127074243528,0.711164459607424,0.6285473799877475
0.5,15,189,0.8932019124756163,0.49873862006739755,0.1489423835697714,0.9999631955918653,0.6804779166936283,0.6442648056796558
0.5,15,190,0.8602680281877821,0.40891584903566697,0.07424686445704036,0.9997689218562621,0.6999258019521805,0.6086250930977865
0.5,15,191,0.8907218217340431,0.49474965446863917,0.12973734987925273,0.999009591655385,0.6908633214287657,0.6410163478332173
0.5,15,192,0.8830760574801346,0.46197049626777564,0.05690555890384995,0.9998740442296624,0.7048719483394549,0.6213396210441755
0.5,15,193,0.8800214447631601,0.4709673306309582,0.011955352126680271,0.99911064623998,0.7094457894057492,0.6143001126333056
0.5,15,194,0.8828848403479759,0.4602722737990858,0.07477231601179149,0.9997722739286217,0.7319746227504069,0.6299352653675764
0.5,15,195,0.9015160047753913,0.5078686560062126,0.08971536255718808,0.9999625831781525,0.7171155975760315,0.6432356408185953
0.5,15,196,0.895180452662387,0.48180112522607127,0.029880742263401185,0.9999727407534977,0.692397980980398,0.6198466083771511
