k,p,n_nodes,n_edges,density,avg_clustering,transitivity,avg_path_length,avg_degree,degree_std,max_degree,small_world_sigma,rich_club_max,modularity,n_communities,H_mode,PR,R,S_dot,kappa,C,sheaf_consistency
6,0.8,100,300,0.06060606060606061,0.06257142857142857,0.055658627087198514,2.733939393939394,6.0,1.5297058540778354,10,0.9705928950088495,0.11904761904761904,0.3547793315342223,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.672527681934986,0.6531059436956881,0.7885156617760041
6,0.9,100,300,0.06060606060606061,0.047756854256854255,0.04823747680890538,2.7406060606060607,6.0,1.5297058540778354,12,0.7389907775678494,0.09059233449477352,0.37403045276188224,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6767029605139917,0.6539409994114892,0.7687065305108284
6,1.0,100,300,0.06060606060606061,0.03415079365079365,0.03640776699029126,2.7262626262626264,6.0,1.7204650534085253,10,0.5312305362548536,0.10714285714285714,0.3515320996102791,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6918060246295173,0.6569616122345943,0.7776944589966173
8,0.0,100,400,0.08080808080808081,0.6428571428571429,0.6428571428571429,6.696969696969697,8.0,0.0,8,2.630754464931403,0.08080808080808081,0.5763893279175921,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.36416979767095714,0.5914343668428823,0.8286202632149411
8,0.1,100,400,0.08080808080808081,0.4801349206349206,0.4708377518557794,3.0868686868686868,8.0,0.7615773105863908,10,4.262744616923002,0.1111111111111111,0.5675779954746886,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.4536452520526574,0.6093294577192223,0.7790603595847321
8,0.2,100,400,0.08080808080808081,0.35264790764790765,0.3417190775681342,2.7054545454545456,8.0,1.1135528725660044,11,3.57227797465419,0.16363636363636364,0.5038814717388699,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5399864428696689,0.6265976958826246,0.7973635318946735
8,0.30000000000000004,100,400,0.08080808080808081,0.22395326895326895,0.2143596824301001,2.547070707070707,8.0,1.3928388277184118,13,2.409686702298088,0.18181818181818182,0.4558623639809659,5,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6032495999793505,0.6392503273045609,0.7789064120943848
8,0.4,100,400,0.08080808080808081,0.2012994227994228,0.19054193993786675,2.509292929292929,8.0,1.3928388277184118,12,2.1985449176836958,0.23809523809523808,0.4038978518276355,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6371557489191715,0.6460315570925251,0.7644137873945202
8,0.5,100,400,0.08080808080808081,0.16443878343878343,0.152834008097166,2.4753535353535354,8.0,1.8110770276274832,13,1.8205859914713576,0.21428571428571427,0.38696448453673116,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6898254476189537,0.6565654968324816,0.7594491349145789
8,0.6000000000000001,100,400,0.08080808080808081,0.10978499278499278,0.10250338294993235,2.4315151515151516,8.0,1.7663521732655694,14,1.23740017681704,0.3333333333333333,0.3460328857097007,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7021292392516162,0.659026255159014,0.7478125359964067
8,0.7000000000000001,100,400,0.08080808080808081,0.08686108336108336,0.08602867622540847,2.437777777777778,8.0,1.9949937343260002,13,0.9765068725085713,0.1388888888888889,0.31101385100154544,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7232096275383466,0.6632423328163601,0.758303542051334
8,0.8,100,400,0.08080808080808081,0.07227222777222778,0.07000338180588435,2.4266666666666667,8.0,1.772004514666935,13,0.816216732408982,0.3333333333333333,0.30331541978299337,5,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7149397583600305,0.661588358980697,0.7285986916131155
8,0.9,100,400,0.08080808080808081,0.07567599067599068,0.07525083612040134,2.4044444444444446,8.0,1.9493588689617927,15,0.8625564840792195,0.2857142857142857,0.2905369074444867,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7361564142622484,0.6658316901611405,0.7396893420032908
8,1.0,100,400,0.08080808080808081,0.07333261183261183,0.07329317269076305,2.411111111111111,8.0,1.9390719429665315,12,0.8335355076602781,0.19230769230769232,0.2955135376085526,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7225371908616659,0.663107845481024,0.740484551038051
10,0.0,100,500,0.10101010101010101,0.6666666666666665,0.6666666666666666,5.454545454545454,10.0,0.0,10,2.42,0.10101010101010101,0.5446710534387736,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.4373256227059442,0.6060655318498797,0.811912013158588
10,0.1,100,500,0.10101010101010101,0.5051240981240981,0.4973544973544973,2.7644444444444445,10.0,0.848528137423857,12,3.6178904455672938,0.3333333333333333,0.5010416856084596,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.4987938381506993,0.6183591749388306,0.8076341563756145
10,0.2,100,500,0.10101010101010101,0.3556695526695527,0.3485178727114211,2.456969696969697,10.0,1.3266499161421599,14,2.866236873634506,0.1282051282051282,0.47621406635027347,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5724153779115838,0.6330834828910076,0.7362022917781896
10,0.30000000000000004,100,500,0.10101010101010101,0.2515858585858586,0.2462104807275877,2.354747474747475,10.0,1.5362291495737217,15,2.1154710020590253,0.26666666666666666,0.3964097495898689,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6408487219264711,0.6467701516939851,0.7496947281946076
