network_size,actual_nodes,connectivity,trial,wave_type,has_wave_comprehensive,wave_speed_comprehensive,has_wave_simple,wave_speed_simple,mean_rotation_angle,mean_rotation_velocity,rotation_quality,circularity,wave_rotation_correspondence
300,16,4,2,2,False,10.058862088217978,True,31.514426976872777,180.0,10.8,0.49181222740912944,0.0,0.4895358027215026
300,16,4,3,3,False,11.173338293576808,True,15.153827066248109,0.0,22.2,0.4612465862080253,0.0,0.18863322682402614
300,16,4,4,0,True,23.199724970959714,True,23.199724970959714,180.0,18.6,0.47510668897794983,0.0,0.11004199128449671
300,16,4,5,1,False,27.028046764993995,True,46.49091362413475,180.0,14.4,0.4500051280048021,0.0,0.5270230271493657
300,16,4,6,2,False,15.571503628779656,True,46.85266160826559,180.0,14.4,0.46867005128130734,0.0,0.5298163501165044
300,16,4,7,3,False,11.199476421580194,True,14.189984112020586,0.0,6.0,0.47735542032799994,0.0,0.40564589187090644
300,16,4,8,0,False,25.64617335778643,True,20.09762340090119,180.0,13.8,0.4697595610125924,0.0,0.18578362637408918
300,16,4,9,1,False,25.835342646255384,True,62.93593168513618,180.0,16.8,0.5035017076890719,0.0,0.5786090500235375
300,16,4,10,2,False,10.940848339093604,True,21.68777958161964,180.0,16.2,0.4961010016118219,0.0,0.14484299798522432
300,16,4,11,3,False,14.615067314039567,True,12.8370529902103,180.0,16.8,0.4959202401114261,0.0,0.1337159605945088
300,16,4,12,0,False,22.40727583777958,True,34.06862303037862,180.0,20.1,0.49178273075037005,0.0,0.2578729576071927
300,16,4,13,1,True,6.100502612710859,True,6.100502612710859,180.0,1.2,0.41936152483688793,0.0,0.6712555111084405
300,16,4,14,2,False,13.920032007506391,True,30.46752035795999,180.0,19.2,0.4807090966301675,0.0,0.22685892665329147
300,16,4,15,3,False,17.79030621329875,True,10.35813354590115,0.0,16.8,0.4679355108992508,0.0,0.23719842319750914
300,16,4,16,0,True,28.159934301682597,True,28.159934301682597,0.0,15.6,0.48929309014472844,0.0,0.2870190392669524
300,16,4,17,1,False,21.232163649745836,True,67.38618229470696,0.0,15.6,0.4486020653076268,0.0,0.6240337952978419
300,16,4,18,2,True,8.383752138858604,True,8.383752138858604,180.0,10.8,0.4843163395907033,0.0,0.12595282943811864
300,16,4,19,3,True,18.974832373089864,True,18.974832373089864,180.0,13.2,0.49410096724768426,0.0,0.17948290471598
300,16,4,20,0,False,33.60578248493853,True,36.24170628072533,180.0,9.6,0.47125804106902636,0.0,0.5811674224671917
300,16,4,21,1,False,21.406492273373633,True,20.125710715365862,180.0,18.6,0.5015784040027207,0.0,0.03939787513716407
300,16,4,22,2,False,13.231822075432966,True,60.51130045848866,180.0,16.8,0.4860931091508709,0.0,0.5653934185456156
300,16,4,23,3,False,14.497625082020011,True,22.45894353128765,180.0,18.6,0.4758803906162399,0.0,0.09398545601490373
300,16,4,24,0,True,40.288192880777245,True,40.288192880777245,180.0,16.2,0.4886461096338103,0.0,0.4264288102041894
300,16,4,25,1,False,28.66096456098258,True,19.369871383369812,0.0,5.4,0.45872282995099856,0.0,0.5639864320285738
300,16,4,26,2,False,17.25426181918087,True,25.912641235366845,0.0,13.8,0.45502077826919496,0.0,0.30500719313902497
300,16,4,27,3,False,15.471103537465977,True,9.386522787125,180.0,19.8,0.4895130541144783,0.0,0.35679060807589597
